#自治体コード表（2007年7月時点）＋07年04年参院選データシート＋07年都道府県議選の投票有無
#有＝有権者数、投＝投票者数、率＝投票率、差＝07年の投票率－04年の投票率、県無投＝無投票のときTRUE
コード,都道府県,自治体1,自治体2,市区町村,参有男07,参有女07,参有計07,参投男07,参投女07,参投計07,参率男07,参率女07,参率計07,参率男04,参率女04,参率計04,参差男07,参差女07,参差計07,県無投07
40211,福岡県,,筑後市,筑後市,,,,,,,,,,,,,,,,
40212,福岡県,,大川市,大川市,,,,,,,,,,,,,,,,
40213,福岡県,,行橋市,行橋市,,,,,,,,,,,,,,,,
40214,福岡県,,豊前市,豊前市,,,,,,,,,,,,,,,,
40215,福岡県,,中間市,中間市,,,,,,,,,,,,,,,,
40216,福岡県,,小郡市,小郡市,,,,,,,,,,,,,,,,
40217,福岡県,,筑紫野市,筑紫野市,,,,,,,,,,,,,,,,
40218,福岡県,,春日市,春日市,,,,,,,,,,,,,,,,
40219,福岡県,,大野城市,大野城市,,,,,,,,,,,,,,,,
40220,福岡県,,宗像市,宗像市,,,,,,,,,,,,,,,,
40221,福岡県,,太宰府市,太宰府市,,,,,,,,,,,,,,,,
40222,福岡県,,前原市,前原市,,,,,,,,,,,,,,,,
40223,福岡県,,古賀市,古賀市,,,,,,,,,,,,,,,,
40224,福岡県,,福津市,福津市,,,,,,,,,,,,,,,,
40225,福岡県,,うきは市,うきは市,,,,,,,,,,,,,,,,
40226,福岡県,,宮若市,宮若市,,,,,,,,,,,,,,,,
40227,福岡県,,嘉麻市,嘉麻市,,,,,,,,,,,,,,,,
40228,福岡県,,朝倉市,朝倉市,,,,,,,,,,,,,,,,
40229,福岡県,,みやま市,みやま市,,,,,,,,,,,,,,,,
40300,福岡県,筑紫郡,,筑紫郡,,,,,,,,,,,,,,,,
40305,福岡県,筑紫郡,那珂川町,筑紫郡那珂川町,,,,,,,,,,,,,,,,
40340,福岡県,糟屋郡,,糟屋郡,,,,,,,,,,,,,,,,
40341,福岡県,糟屋郡,宇美町,糟屋郡宇美町,,,,,,,,,,,,,,,,
40342,福岡県,糟屋郡,篠栗町,糟屋郡篠栗町,,,,,,,,,,,,,,,,
40343,福岡県,糟屋郡,志免町,糟屋郡志免町,,,,,,,,,,,,,,,,
40344,福岡県,糟屋郡,須恵町,糟屋郡須恵町,,,,,,,,,,,,,,,,
40345,福岡県,糟屋郡,新宮町,糟屋郡新宮町,,,,,,,,,,,,,,,,
40348,福岡県,糟屋郡,久山町,糟屋郡久山町,,,,,,,,,,,,,,,,
40349,福岡県,糟屋郡,粕屋町,糟屋郡粕屋町,,,,,,,,,,,,,,,,
40380,福岡県,遠賀郡,,遠賀郡,,,,,,,,,,,,,,,,
40381,福岡県,遠賀郡,芦屋町,遠賀郡芦屋町,,,,,,,,,,,,,,,,
40382,福岡県,遠賀郡,水巻町,遠賀郡水巻町,,,,,,,,,,,,,,,,
40383,福岡県,遠賀郡,岡垣町,遠賀郡岡垣町,,,,,,,,,,,,,,,,
40384,福岡県,遠賀郡,遠賀町,遠賀郡遠賀町,,,,,,,,,,,,,,,,
40400,福岡県,鞍手郡,,鞍手郡,,,,,,,,,,,,,,,,
40401,福岡県,鞍手郡,小竹町,鞍手郡小竹町,,,,,,,,,,,,,,,,
40402,福岡県,鞍手郡,鞍手町,鞍手郡鞍手町,,,,,,,,,,,,,,,,
40420,福岡県,嘉穂郡,,嘉穂郡,,,,,,,,,,,,,,,,
40421,福岡県,嘉穂郡,桂川町,嘉穂郡桂川町,,,,,,,,,,,,,,,,
40440,福岡県,朝倉郡,,朝倉郡,,,,,,,,,,,,,,,,
40447,福岡県,朝倉郡,筑前町,朝倉郡筑前町,,,,,,,,,,,,,,,,
40448,福岡県,朝倉郡,東峰村,朝倉郡東峰村,,,,,,,,,,,,,,,,
40460,福岡県,糸島郡,,糸島郡,,,,,,,,,,,,,,,,
40462,福岡県,糸島郡,二丈町,糸島郡二丈町,,,,,,,,,,,,,,,,
40463,福岡県,糸島郡,志摩町,糸島郡志摩町,,,,,,,,,,,,,,,,
40500,福岡県,三井郡,,三井郡,,,,,,,,,,,,,,,,
40503,福岡県,三井郡,大刀洗町,三井郡大刀洗町,,,,,,,,,,,,,,,,
40520,福岡県,三潴郡,,三潴郡,,,,,,,,,,,,,,,,
40522,福岡県,三潴郡,大木町,三潴郡大木町,,,,,,,,,,,,,,,,
40540,福岡県,八女郡,,八女郡,,,,,,,,,,,,,,,,
40541,福岡県,八女郡,黒木町,八女郡黒木町,,,,,,,,,,,,,,,,
40543,福岡県,八女郡,立花町,八女郡立花町,,,,,,,,,,,,,,,,
40544,福岡県,八女郡,広川町,八女郡広川町,,,,,,,,,,,,,,,,
40545,福岡県,八女郡,矢部村,八女郡矢部村,,,,,,,,,,,,,,,,
40546,福岡県,八女郡,星野村,八女郡星野村,,,,,,,,,,,,,,,,
40600,福岡県,田川郡,,田川郡,,,,,,,,,,,,,,,,
40601,福岡県,田川郡,香春町,田川郡香春町,,,,,,,,,,,,,,,,
40602,福岡県,田川郡,添田町,田川郡添田町,,,,,,,,,,,,,,,,
40604,福岡県,田川郡,糸田町,田川郡糸田町,,,,,,,,,,,,,,,,
40605,福岡県,田川郡,川崎町,田川郡川崎町,,,,,,,,,,,,,,,,
40608,福岡県,田川郡,大任町,田川郡大任町,,,,,,,,,,,,,,,,
40609,福岡県,田川郡,赤村,田川郡赤村,,,,,,,,,,,,,,,,
40610,福岡県,田川郡,福智町,田川郡福智町,,,,,,,,,,,,,,,,
40620,福岡県,京都郡,,京都郡,,,,,,,,,,,,,,,,
40621,福岡県,京都郡,苅田町,京都郡苅田町,,,,,,,,,,,,,,,,
40625,福岡県,京都郡,みやこ町,京都郡みやこ町,,,,,,,,,,,,,,,,
40640,福岡県,築上郡,,築上郡,,,,,,,,,,,,,,,,
40642,福岡県,築上郡,吉富町,築上郡吉富町,,,,,,,,,,,,,,,,
40646,福岡県,築上郡,上毛町,築上郡上毛町,,,,,,,,,,,,,,,,
40647,福岡県,築上郡,築上町,築上郡築上町,,,,,,,,,,,,,,,,
41201,佐賀県,,佐賀市,佐賀市,,,,,,,,,,,,,,,,
41202,佐賀県,,唐津市,唐津市,,,,,,,,,,,,,,,,
41203,佐賀県,,鳥栖市,鳥栖市,,,,,,,,,,,,,,,,
41204,佐賀県,,多久市,多久市,,,,,,,,,,,,,,,,
41205,佐賀県,,伊万里市,伊万里市,,,,,,,,,,,,,,,,
41206,佐賀県,,武雄市,武雄市,,,,,,,,,,,,,,,,
41207,佐賀県,,鹿島市,鹿島市,,,,,,,,,,,,,,,,
41208,佐賀県,,小城市,小城市,,,,,,,,,,,,,,,,
41209,佐賀県,,嬉野市,嬉野市,,,,,,,,,,,,,,,,
41210,佐賀県,,神埼市,神埼市,,,,,,,,,,,,,,,,
41300,佐賀県,佐賀郡,,佐賀郡,,,,,,,,,,,,,,,,
41302,佐賀県,佐賀郡,川副町,佐賀郡川副町,,,,,,,,,,,,,,,,
41303,佐賀県,佐賀郡,東与賀町,佐賀郡東与賀町,,,,,,,,,,,,,,,,
41304,佐賀県,佐賀郡,久保田町,佐賀郡久保田町,,,,,,,,,,,,,,,,
41320,佐賀県,神埼郡,,神埼郡,,,,,,,,,,,,,,,,
41327,佐賀県,神埼郡,吉野ヶ里町,神埼郡吉野ヶ里町,,,,,,,,,,,,,,,,
41340,佐賀県,三養基郡,,三養基郡,,,,,,,,,,,,,,,,
41341,佐賀県,三養基郡,基山町,三養基郡基山町,,,,,,,,,,,,,,,,
41345,佐賀県,三養基郡,上峰町,三養基郡上峰町,,,,,,,,,,,,,,,,
41346,佐賀県,三養基郡,みやき町,三養基郡みやき町,,,,,,,,,,,,,,,,
41380,佐賀県,東松浦郡,,東松浦郡,,,,,,,,,,,,,,,,
41387,佐賀県,東松浦郡,玄海町,東松浦郡玄海町,,,,,,,,,,,,,,,,
41400,佐賀県,西松浦郡,,西松浦郡,,,,,,,,,,,,,,,,
41401,佐賀県,西松浦郡,有田町,西松浦郡有田町,,,,,,,,,,,,,,,,
41420,佐賀県,杵島郡,,杵島郡,,,,,,,,,,,,,,,,
41423,佐賀県,杵島郡,大町町,杵島郡大町町,,,,,,,,,,,,,,,,
41424,佐賀県,杵島郡,江北町,杵島郡江北町,,,,,,,,,,,,,,,,
41425,佐賀県,杵島郡,白石町,杵島郡白石町,,,,,,,,,,,,,,,,
41440,佐賀県,藤津郡,,藤津郡,,,,,,,,,,,,,,,,
41441,佐賀県,藤津郡,太良町,藤津郡太良町,,,,,,,,,,,,,,,,
42201,長崎県,,長崎市,長崎市,,,,,,,,,,,,,,,,
42202,長崎県,,佐世保市,佐世保市,,,,,,,,,,,,,,,,
42203,長崎県,,島原市,島原市,,,,,,,,,,,,,,,,
42204,長崎県,,諫早市,諫早市,,,,,,,,,,,,,,,,
42205,長崎県,,大村市,大村市,,,,,,,,,,,,,,,,
42207,長崎県,,平戸市,平戸市,,,,,,,,,,,,,,,,
42208,長崎県,,松浦市,松浦市,,,,,,,,,,,,,,,,
42209,長崎県,,対馬市,対馬市,,,,,,,,,,,,,,,,
42210,長崎県,,壱岐市,壱岐市,,,,,,,,,,,,,,,,
42211,長崎県,,五島市,五島市,,,,,,,,,,,,,,,,
42212,長崎県,,西海市,西海市,,,,,,,,,,,,,,,,
42213,長崎県,,雲仙市,雲仙市,,,,,,,,,,,,,,,,
42214,長崎県,,南島原市,南島原市,,,,,,,,,,,,,,,,
42300,長崎県,西彼杵郡,,西彼杵郡,,,,,,,,,,,,,,,,
42307,長崎県,西彼杵郡,長与町,西彼杵郡長与町,,,,,,,,,,,,,,,,
42308,長崎県,西彼杵郡,時津町,西彼杵郡時津町,,,,,,,,,,,,,,,,
42320,長崎県,東彼杵郡,,東彼杵郡,,,,,,,,,,,,,,,,
42321,長崎県,東彼杵郡,東彼杵町,東彼杵郡東彼杵町,,,,,,,,,,,,,,,,
42322,長崎県,東彼杵郡,川棚町,東彼杵郡川棚町,,,,,,,,,,,,,,,,
42323,長崎県,東彼杵郡,波佐見町,東彼杵郡波佐見町,,,,,,,,,,,,,,,,
42380,長崎県,北松浦郡,,北松浦郡,,,,,,,,,,,,,,,,
42383,長崎県,北松浦郡,小値賀町,北松浦郡小値賀町,,,,,,,,,,,,,,,,
42388,長崎県,北松浦郡,江迎町,北松浦郡江迎町,,,,,,,,,,,,,,,,
42389,長崎県,北松浦郡,鹿町町,北松浦郡鹿町町,,,,,,,,,,,,,,,,
42391,長崎県,北松浦郡,佐々町,北松浦郡佐々町,,,,,,,,,,,,,,,,
42400,長崎県,南松浦郡,,南松浦郡,,,,,,,,,,,,,,,,
42411,長崎県,南松浦郡,新上五島町,南松浦郡新上五島町,,,,,,,,,,,,,,,,
43201,熊本県,,熊本市,熊本市,,,,,,,,,,,,,,,,
43202,熊本県,,八代市,八代市,,,,,,,,,,,,,,,,
43203,熊本県,,人吉市,人吉市,,,,,,,,,,,,,,,,
43204,熊本県,,荒尾市,荒尾市,,,,,,,,,,,,,,,,
43205,熊本県,,水俣市,水俣市,,,,,,,,,,,,,,,,
43206,熊本県,,玉名市,玉名市,,,,,,,,,,,,,,,,
43208,熊本県,,山鹿市,山鹿市,,,,,,,,,,,,,,,,
43210,熊本県,,菊池市,菊池市,,,,,,,,,,,,,,,,
43211,熊本県,,宇土市,宇土市,,,,,,,,,,,,,,,,
43212,熊本県,,上天草市,上天草市,,,,,,,,,,,,,,,,
43213,熊本県,,宇城市,宇城市,,,,,,,,,,,,,,,,
43214,熊本県,,阿蘇市,阿蘇市,,,,,,,,,,,,,,,,
43215,熊本県,,天草市,天草市,,,,,,,,,,,,,,,,
43216,熊本県,,合志市,合志市,,,,,,,,,,,,,,,,
43340,熊本県,下益城郡,,下益城郡,,,,,,,,,,,,,,,,
43341,熊本県,下益城郡,城南町,下益城郡城南町,,,,,,,,,,,,,,,,
43342,熊本県,下益城郡,富合町,下益城郡富合町,,,,,,,,,,,,,,,,
43348,熊本県,下益城郡,美里町,下益城郡美里町,,,,,,,,,,,,,,,,
43360,熊本県,玉名郡,,玉名郡,,,,,,,,,,,,,,,,
43364,熊本県,玉名郡,玉東町,玉名郡玉東町,,,,,,,,,,,,,,,,
43367,熊本県,玉名郡,南関町,玉名郡南関町,,,,,,,,,,,,,,,,
43368,熊本県,玉名郡,長洲町,玉名郡長洲町,,,,,,,,,,,,,,,,
43369,熊本県,玉名郡,和水町,玉名郡和水町,,,,,,,,,,,,,,,,
43380,熊本県,鹿本郡,,鹿本郡,,,,,,,,,,,,,,,,
43385,熊本県,鹿本郡,植木町,鹿本郡植木町,,,,,,,,,,,,,,,,
43400,熊本県,菊池郡,,菊池郡,,,,,,,,,,,,,,,,
43403,熊本県,菊池郡,大津町,菊池郡大津町,,,,,,,,,,,,,,,,
43404,熊本県,菊池郡,菊陽町,菊池郡菊陽町,,,,,,,,,,,,,,,,
43420,熊本県,阿蘇郡,,阿蘇郡,,,,,,,,,,,,,,,,
43423,熊本県,阿蘇郡,南小国町,阿蘇郡南小国町,,,,,,,,,,,,,,,,
43424,熊本県,阿蘇郡,小国町,阿蘇郡小国町,,,,,,,,,,,,,,,,
43425,熊本県,阿蘇郡,産山村,阿蘇郡産山村,,,,,,,,,,,,,,,,
43428,熊本県,阿蘇郡,高森町,阿蘇郡高森町,,,,,,,,,,,,,,,,
43432,熊本県,阿蘇郡,西原村,阿蘇郡西原村,,,,,,,,,,,,,,,,
43433,熊本県,阿蘇郡,南阿蘇村,阿蘇郡南阿蘇村,,,,,,,,,,,,,,,,
43440,熊本県,上益城郡,,上益城郡,,,,,,,,,,,,,,,,
43441,熊本県,上益城郡,御船町,上益城郡御船町,,,,,,,,,,,,,,,,
43442,熊本県,上益城郡,嘉島町,上益城郡嘉島町,,,,,,,,,,,,,,,,
43443,熊本県,上益城郡,益城町,上益城郡益城町,,,,,,,,,,,,,,,,
43444,熊本県,上益城郡,甲佐町,上益城郡甲佐町,,,,,,,,,,,,,,,,
43447,熊本県,上益城郡,山都町,上益城郡山都町,,,,,,,,,,,,,,,,
43460,熊本県,八代郡,,八代郡,,,,,,,,,,,,,,,,
43468,熊本県,八代郡,氷川町,八代郡氷川町,,,,,,,,,,,,,,,,
43480,熊本県,葦北郡,,葦北郡,,,,,,,,,,,,,,,,
43482,熊本県,葦北郡,芦北町,葦北郡芦北町,,,,,,,,,,,,,,,,
43484,熊本県,葦北郡,津奈木町,葦北郡津奈木町,,,,,,,,,,,,,,,,
43500,熊本県,球磨郡,,球磨郡,,,,,,,,,,,,,,,,
43501,熊本県,球磨郡,錦町,球磨郡錦町,,,,,,,,,,,,,,,,
43505,熊本県,球磨郡,多良木町,球磨郡多良木町,,,,,,,,,,,,,,,,
43506,熊本県,球磨郡,湯前町,球磨郡湯前町,,,,,,,,,,,,,,,,
43507,熊本県,球磨郡,水上村,球磨郡水上村,,,,,,,,,,,,,,,,
43510,熊本県,球磨郡,相良村,球磨郡相良村,,,,,,,,,,,,,,,,
43511,熊本県,球磨郡,五木村,球磨郡五木村,,,,,,,,,,,,,,,,
43512,熊本県,球磨郡,山江村,球磨郡山江村,,,,,,,,,,,,,,,,
43513,熊本県,球磨郡,球磨村,球磨郡球磨村,,,,,,,,,,,,,,,,
43514,熊本県,球磨郡,あさぎり町,球磨郡あさぎり町,,,,,,,,,,,,,,,,
43520,熊本県,天草郡,,天草郡,,,,,,,,,,,,,,,,
43531,熊本県,天草郡,苓北町,天草郡苓北町,,,,,,,,,,,,,,,,
44201,大分県,,大分市,大分市,,,,,,,,,,,,,,,,
44202,大分県,,別府市,別府市,,,,,,,,,,,,,,,,
44203,大分県,,中津市,中津市,,,,,,,,,,,,,,,,
44204,大分県,,日田市,日田市,,,,,,,,,,,,,,,,
44205,大分県,,佐伯市,佐伯市,,,,,,,,,,,,,,,,
44206,大分県,,臼杵市,臼杵市,,,,,,,,,,,,,,,,
44207,大分県,,津久見市,津久見市,,,,,,,,,,,,,,,,
44208,大分県,,竹田市,竹田市,,,,,,,,,,,,,,,,
44209,大分県,,豊後高田市,豊後高田市,,,,,,,,,,,,,,,,
44210,大分県,,杵築市,杵築市,,,,,,,,,,,,,,,,
44211,大分県,,宇佐市,宇佐市,,,,,,,,,,,,,,,,
44212,大分県,,豊後大野市,豊後大野市,,,,,,,,,,,,,,,,
44213,大分県,,由布市,由布市,,,,,,,,,,,,,,,,
44214,大分県,,国東市,国東市,,,,,,,,,,,,,,,,
44320,大分県,東国東郡,,東国東郡,,,,,,,,,,,,,,,,
44322,大分県,東国東郡,姫島村,東国東郡姫島村,,,,,,,,,,,,,,,,
44340,大分県,速見郡,,速見郡,,,,,,,,,,,,,,,,
44341,大分県,速見郡,日出町,速見郡日出町,,,,,,,,,,,,,,,,
44460,大分県,玖珠郡,,玖珠郡,,,,,,,,,,,,,,,,
44461,大分県,玖珠郡,九重町,玖珠郡九重町,,,,,,,,,,,,,,,,
44462,大分県,玖珠郡,玖珠町,玖珠郡玖珠町,,,,,,,,,,,,,,,,
45201,宮崎県,,宮崎市,宮崎市,,,,,,,,,,,,,,,,
45202,宮崎県,,都城市,都城市,,,,,,,,,,,,,,,,
45203,宮崎県,,延岡市,延岡市,,,,,,,,,,,,,,,,
45204,宮崎県,,日南市,日南市,,,,,,,,,,,,,,,,
45205,宮崎県,,小林市,小林市,,,,,,,,,,,,,,,,
45206,宮崎県,,日向市,日向市,,,,,,,,,,,,,,,,
45207,宮崎県,,串間市,串間市,,,,,,,,,,,,,,,,
45208,宮崎県,,西都市,西都市,,,,,,,,,,,,,,,,
45209,宮崎県,,えびの市,えびの市,,,,,,,,,,,,,,,,
45300,宮崎県,宮崎郡,,宮崎郡,,,,,,,,,,,,,,,,
45301,宮崎県,宮崎郡,清武町,宮崎郡清武町,,,,,,,,,,,,,,,,
45320,宮崎県,南那珂郡,,南那珂郡,,,,,,,,,,,,,,,,
45321,宮崎県,南那珂郡,北郷町,南那珂郡北郷町,,,,,,,,,,,,,,,,
45322,宮崎県,南那珂郡,南郷町,南那珂郡南郷町,,,,,,,,,,,,,,,,
45340,宮崎県,北諸県郡,,北諸県郡,,,,,,,,,,,,,,,,
45341,宮崎県,北諸県郡,三股町,北諸県郡三股町,,,,,,,,,,,,,,,,
45360,宮崎県,西諸県郡,,西諸県郡,,,,,,,,,,,,,,,,
45361,宮崎県,西諸県郡,高原町,西諸県郡高原町,,,,,,,,,,,,,,,,
45362,宮崎県,西諸県郡,野尻町,西諸県郡野尻町,,,,,,,,,,,,,,,,
45380,宮崎県,東諸県郡,,東諸県郡,,,,,,,,,,,,,,,,
45382,宮崎県,東諸県郡,国富町,東諸県郡国富町,,,,,,,,,,,,,,,,
45383,宮崎県,東諸県郡,綾町,東諸県郡綾町,,,,,,,,,,,,,,,,
45400,宮崎県,児湯郡,,児湯郡,,,,,,,,,,,,,,,,
45401,宮崎県,児湯郡,高鍋町,児湯郡高鍋町,,,,,,,,,,,,,,,,
45402,宮崎県,児湯郡,新富町,児湯郡新富町,,,,,,,,,,,,,,,,
45403,宮崎県,児湯郡,西米良村,児湯郡西米良村,,,,,,,,,,,,,,,,
45404,宮崎県,児湯郡,木城町,児湯郡木城町,,,,,,,,,,,,,,,,
45405,宮崎県,児湯郡,川南町,児湯郡川南町,,,,,,,,,,,,,,,,
45406,宮崎県,児湯郡,都農町,児湯郡都農町,,,,,,,,,,,,,,,,
45420,宮崎県,東臼杵郡,,東臼杵郡,,,,,,,,,,,,,,,,
45421,宮崎県,東臼杵郡,門川町,東臼杵郡門川町,,,,,,,,,,,,,,,,
45429,宮崎県,東臼杵郡,諸塚村,東臼杵郡諸塚村,,,,,,,,,,,,,,,,
45430,宮崎県,東臼杵郡,椎葉村,東臼杵郡椎葉村,,,,,,,,,,,,,,,,
45431,宮崎県,東臼杵郡,美郷町,東臼杵郡美郷町,,,,,,,,,,,,,,,,
45440,宮崎県,西臼杵郡,,西臼杵郡,,,,,,,,,,,,,,,,
45441,宮崎県,西臼杵郡,高千穂町,西臼杵郡高千穂町,,,,,,,,,,,,,,,,
45442,宮崎県,西臼杵郡,日之影町,西臼杵郡日之影町,,,,,,,,,,,,,,,,
45443,宮崎県,西臼杵郡,五ヶ瀬町,西臼杵郡五ヶ瀬町,,,,,,,,,,,,,,,,
46201,鹿児島県,,鹿児島市,鹿児島市,,,,,,,,,,,,,,,,
46203,鹿児島県,,鹿屋市,鹿屋市,,,,,,,,,,,,,,,,
46204,鹿児島県,,枕崎市,枕崎市,,,,,,,,,,,,,,,,
46206,鹿児島県,,阿久根市,阿久根市,,,,,,,,,,,,,,,,
46208,鹿児島県,,出水市,出水市,,,,,,,,,,,,,,,,
46209,鹿児島県,,大口市,大口市,,,,,,,,,,,,,,,,
46210,鹿児島県,,指宿市,指宿市,,,,,,,,,,,,,,,,
46213,鹿児島県,,西之表市,西之表市,,,,,,,,,,,,,,,,
46214,鹿児島県,,垂水市,垂水市,,,,,,,,,,,,,,,,
46215,鹿児島県,,薩摩川内市,薩摩川内市,,,,,,,,,,,,,,,,
46216,鹿児島県,,日置市,日置市,,,,,,,,,,,,,,,,
46217,鹿児島県,,曽於市,曽於市,,,,,,,,,,,,,,,,
46218,鹿児島県,,霧島市,霧島市,,,,,,,,,,,,,,,,
46219,鹿児島県,,いちき串木野市,いちき串木野市,,,,,,,,,,,,,,,,
46220,鹿児島県,,南さつま市,南さつま市,,,,,,,,,,,,,,,,
46221,鹿児島県,,志布志市,志布志市,,,,,,,,,,,,,,,,
46222,鹿児島県,,奄美市,奄美市,,,,,,,,,,,,,,,,
46300,鹿児島県,鹿児島郡,,鹿児島郡,,,,,,,,,,,,,,,,
46303,鹿児島県,鹿児島郡,三島村,鹿児島郡三島村,,,,,,,,,,,,,,,,
46304,鹿児島県,鹿児島郡,十島村,鹿児島郡十島村,,,,,,,,,,,,,,,,
46320,鹿児島県,揖宿郡,,揖宿郡,,,,,,,,,,,,,,,,
46323,鹿児島県,揖宿郡,頴娃町,揖宿郡頴娃町,,,,,,,,,,,,,,,,
46340,鹿児島県,川辺郡,,川辺郡,,,,,,,,,,,,,,,,
46344,鹿児島県,川辺郡,知覧町,川辺郡知覧町,,,,,,,,,,,,,,,,
46345,鹿児島県,川辺郡,川辺町,川辺郡川辺町,,,,,,,,,,,,,,,,
46380,鹿児島県,薩摩郡,,薩摩郡,,,,,,,,,,,,,,,,
46392,鹿児島県,薩摩郡,さつま町,薩摩郡さつま町,,,,,,,,,,,,,,,,
46400,鹿児島県,出水郡,,出水郡,,,,,,,,,,,,,,,,
46404,鹿児島県,出水郡,長島町,出水郡長島町,,,,,,,,,,,,,,,,
46420,鹿児島県,伊佐郡,,伊佐郡,,,,,,,,,,,,,,,,
46421,鹿児島県,伊佐郡,菱刈町,伊佐郡菱刈町,,,,,,,,,,,,,,,,
46440,鹿児島県,姶良郡,,姶良郡,,,,,,,,,,,,,,,,
46441,鹿児島県,姶良郡,加治木町,姶良郡加治木町,,,,,,,,,,,,,,,,
46442,鹿児島県,姶良郡,姶良町,姶良郡姶良町,,,,,,,,,,,,,,,,
46443,鹿児島県,姶良郡,蒲生町,姶良郡蒲生町,,,,,,,,,,,,,,,,
46452,鹿児島県,姶良郡,湧水町,姶良郡湧水町,,,,,,,,,,,,,,,,
46460,鹿児島県,曽於郡,,曽於郡,,,,,,,,,,,,,,,,
46468,鹿児島県,曽於郡,大崎町,曽於郡大崎町,,,,,,,,,,,,,,,,
46480,鹿児島県,肝属郡,,肝属郡,,,,,,,,,,,,,,,,
46482,鹿児島県,肝属郡,東串良町,肝属郡東串良町,,,,,,,,,,,,,,,,
46490,鹿児島県,肝属郡,錦江町,肝属郡錦江町,,,,,,,,,,,,,,,,
46491,鹿児島県,肝属郡,南大隅町,肝属郡南大隅町,,,,,,,,,,,,,,,,
46492,鹿児島県,肝属郡,肝付町,肝属郡肝付町,,,,,,,,,,,,,,,,
46500,鹿児島県,熊毛郡,,熊毛郡,,,,,,,,,,,,,,,,
46501,鹿児島県,熊毛郡,中種子町,熊毛郡中種子町,,,,,,,,,,,,,,,,
46502,鹿児島県,熊毛郡,南種子町,熊毛郡南種子町,,,,,,,,,,,,,,,,
46503,鹿児島県,熊毛郡,上屋久町,熊毛郡上屋久町,,,,,,,,,,,,,,,,
46504,鹿児島県,熊毛郡,屋久町,熊毛郡屋久町,,,,,,,,,,,,,,,,
46520,鹿児島県,大島郡,,大島郡,,,,,,,,,,,,,,,,
46523,鹿児島県,大島郡,大和村,大島郡大和村,,,,,,,,,,,,,,,,
46524,鹿児島県,大島郡,宇検村,大島郡宇検村,,,,,,,,,,,,,,,,
46525,鹿児島県,大島郡,瀬戸内町,大島郡瀬戸内町,,,,,,,,,,,,,,,,
46527,鹿児島県,大島郡,龍郷町,大島郡龍郷町,,,,,,,,,,,,,,,,
46529,鹿児島県,大島郡,喜界町,大島郡喜界町,,,,,,,,,,,,,,,,
46530,鹿児島県,大島郡,徳之島町,大島郡徳之島町,,,,,,,,,,,,,,,,
46531,鹿児島県,大島郡,天城町,大島郡天城町,,,,,,,,,,,,,,,,
46532,鹿児島県,大島郡,伊仙町,大島郡伊仙町,,,,,,,,,,,,,,,,
46533,鹿児島県,大島郡,和泊町,大島郡和泊町,,,,,,,,,,,,,,,,
46534,鹿児島県,大島郡,知名町,大島郡知名町,,,,,,,,,,,,,,,,
46535,鹿児島県,大島郡,与論町,大島郡与論町,,,,,,,,,,,,,,,,
47201,沖縄県,,那覇市,那覇市,,,,,,,,,,,,,,,,
47205,沖縄県,,宜野湾市,宜野湾市,,,,,,,,,,,,,,,,
47207,沖縄県,,石垣市,石垣市,,,,,,,,,,,,,,,,
47208,沖縄県,,浦添市,浦添市,,,,,,,,,,,,,,,,
47209,沖縄県,,名護市,名護市,,,,,,,,,,,,,,,,
47210,沖縄県,,糸満市,糸満市,,,,,,,,,,,,,,,,
47211,沖縄県,,沖縄市,沖縄市,,,,,,,,,,,,,,,,
47212,沖縄県,,豊見城市,豊見城市,,,,,,,,,,,,,,,,
47213,沖縄県,,うるま市,うるま市,,,,,,,,,,,,,,,,
47214,沖縄県,,宮古島市,宮古島市,,,,,,,,,,,,,,,,
47215,沖縄県,,南城市,南城市,,,,,,,,,,,,,,,,
47300,沖縄県,国頭郡,,国頭郡,,,,,,,,,,,,,,,,
47301,沖縄県,国頭郡,国頭村,国頭郡国頭村,,,,,,,,,,,,,,,,
47302,沖縄県,国頭郡,大宜味村,国頭郡大宜味村,,,,,,,,,,,,,,,,
47303,沖縄県,国頭郡,東村,国頭郡東村,,,,,,,,,,,,,,,,
47306,沖縄県,国頭郡,今帰仁村,国頭郡今帰仁村,,,,,,,,,,,,,,,,
47308,沖縄県,国頭郡,本部町,国頭郡本部町,,,,,,,,,,,,,,,,
47311,沖縄県,国頭郡,恩納村,国頭郡恩納村,,,,,,,,,,,,,,,,
47313,沖縄県,国頭郡,宜野座村,国頭郡宜野座村,,,,,,,,,,,,,,,,
47314,沖縄県,国頭郡,金武町,国頭郡金武町,,,,,,,,,,,,,,,,
47315,沖縄県,国頭郡,伊江村,国頭郡伊江村,,,,,,,,,,,,,,,,
47320,沖縄県,中頭郡,,中頭郡,,,,,,,,,,,,,,,,
47324,沖縄県,中頭郡,読谷村,中頭郡読谷村,,,,,,,,,,,,,,,,
47325,沖縄県,中頭郡,嘉手納町,中頭郡嘉手納町,,,,,,,,,,,,,,,,
47326,沖縄県,中頭郡,北谷町,中頭郡北谷町,,,,,,,,,,,,,,,,
47327,沖縄県,中頭郡,北中城村,中頭郡北中城村,,,,,,,,,,,,,,,,
47328,沖縄県,中頭郡,中城村,中頭郡中城村,,,,,,,,,,,,,,,,
47329,沖縄県,中頭郡,西原町,中頭郡西原町,,,,,,,,,,,,,,,,
